time_ms,relative_alt_m,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
14458,-1.08,2.83,-9.56,2.06,-0.11,-0.05,0.14
14503,-1.11,1.62,-10.12,-0.63,-0.11,-0.15,0.18
14549,-1.14,2.68,-9.74,0.00,0.22,0.11,0.13
14603,-1.10,2.02,-9.61,1.24,0.63,0.44,0.23
14653,-1.18,2.05,-9.50,1.55,0.08,-0.13,-0.12
14699,-1.14,2.63,-9.98,-0.14,0.03,0.02,-0.01
14744,-1.11,2.05,-9.72,1.32,0.12,0.12,0.05
14790,-1.14,1.13,-9.77,1.13,0.05,0.14,0.11
14838,-1.20,2.15,-9.50,2.30,0.18,0.14,-0.17
14884,-1.18,3.35,-9.60,1.34,0.00,0.03,0.07
14930,-1.18,1.58,-9.57,1.24,0.01,0.13,0.13
14975,-1.16,2.26,-9.39,2.81,0.16,-0.07,-0.19
15021,-1.15,1.83,-9.65,1.89,-0.04,-0.19,-0.03
15066,-1.09,1.61,-9.65,1.57,0.03,0.01,-0.11
15120,-1.09,2.46,-9.50,1.23,-0.04,-0.02,-0.10
15170,-1.15,3.71,-9.33,1.93,-0.03,-0.01,-0.07
15216,-1.03,2.87,-9.46,1.52,-0.12,-0.02,0.12
15261,-1.11,2.40,-9.54,1.96,-0.05,0.02,0.16
15307,-1.11,1.37,-9.76,1.32,-0.08,-0.06,0.15
15353,-1.08,1.73,-9.74,1.24,0.01,-0.01,0.08
15401,-1.11,2.35,-9.52,1.69,-0.03,0.05,0.03
15447,-1.11,2.49,-9.48,2.04,-0.05,0.05,0.05
15492,-1.01,2.30,-9.62,1.46,-0.04,0.06,0.09
15538,-1.02,1.71,-9.72,1.47,-0.07,0.03,0.13
15583,-1.02,1.02,-9.80,0.79,-0.07,-0.15,0.01
15637,-1.10,2.42,-9.67,1.98,0.13,0.07,-0.04
15687,-1.19,1.58,-9.68,1.22,0.09,0.30,-0.10
15733,-1.25,3.00,-9.33,2.37,0.17,0.23,0.00
15779,-1.25,2.26,-9.41,2.44,0.14,-0.11,-0.07
15825,-1.32,3.04,-9.40,2.42,-0.01,-0.16,0.06
15870,-1.24,1.77,-9.57,1.94,-0.01,0.10,0.01
15918,-1.20,2.20,-9.48,2.14,0.02,0.12,-0.07
15964,-1.23,2.83,-9.30,2.71,-0.02,0.03,-0.01
16010,-1.25,2.07,-9.54,1.96,-0.10,0.01,0.07
16055,-1.15,1.93,-9.63,1.78,-0.05,0.02,0.05
16100,-1.04,1.76,-9.53,2.13,-0.05,-0.00,0.01
16154,-1.09,2.38,-9.55,1.66,-0.09,0.04,-0.03
16206,-1.07,2.39,-9.51,1.80,-0.07,0.11,0.03
